akthst,linientext,total_trips,avg_delay,median_delay,pct_high_delay,delay_group,delay_color,longitude,latitude
4411502,20,51,3.2380392156862743,3.03,5.88235294117647,0-5 (Slight),#F1C40F,7.575775,51.929982
4411502,E10,28,3.3117857142857146,2.5700000000000003,17.857142857142858,0-5 (Slight),#F1C40F,7.575775,51.929982
4411502,N83,166,1.3905421686746986,0.43,1.8072289156626504,0-5 (Slight),#F1C40F,7.575775,51.929982
4412101,10,573,0.946108202443281,-0.07,4.886561954624781,0-5 (Slight),#F1C40F,7.572397,51.927923
4412101,16,1248,1.0083733974358975,0.37,6.25,0-5 (Slight),#F1C40F,7.572397,51.927923
4412101,20,232,0.3525431034482759,0.09,0.8620689655172413,0-5 (Slight),#F1C40F,7.572397,51.927923
4412101,E15,4,4.945,3.915,50.0,0-5 (Slight),#F1C40F,7.572397,51.927923
4413101,15,863,3.3763847045191198,3.03,14.13673232908459,0-5 (Slight),#F1C40F,7.61836,51.951905
4413101,16,677,2.580709010339734,2.95,7.828655834564254,0-5 (Slight),#F1C40F,7.61836,51.951905
4413101,4,1436,2.426483286908078,1.78,16.643454038997216,0-5 (Slight),#F1C40F,7.61836,51.951905
4413101,7,7,1.4528571428571428,0.13,0.0,0-5 (Slight),#F1C40F,7.61836,51.951905
4413101,E10,56,1.2169642857142857,0.10500000000000001,7.142857142857142,0-5 (Slight),#F1C40F,7.61836,51.951905
4413101,E84,2,1.95,1.95,0.0,0-5 (Slight),#F1C40F,7.61836,51.951905
4413101,N84,332,1.7538554216867468,0.36,8.734939759036145,0-5 (Slight),#F1C40F,7.61836,51.951905
4414101,10,543,3.2740331491712706,2.92,21.178637200736645,0-5 (Slight),#F1C40F,7.582982,51.926578
4414101,15,554,2.6581227436823105,1.95,15.342960288808664,0-5 (Slight),#F1C40F,7.582982,51.926578
4414101,16,566,1.722226148409894,1.02,6.007067137809187,0-5 (Slight),#F1C40F,7.582982,51.926578
4414101,20,176,0.6029545454545455,-0.5,1.1363636363636365,0-5 (Slight),#F1C40F,7.582982,51.926578
4414101,E15,4,3.53,3.81,0.0,0-5 (Slight),#F1C40F,7.582982,51.926578
4414101,E84,2,-0.014999999999999902,-0.014999999999999902,0.0,< 0 (Early/On-time),#2ECC71,7.582982,51.926578
4414101,N84,108,2.4767592592592593,2.725,16.666666666666664,0-5 (Slight),#F1C40F,7.582982,51.926578
4415102,15,762,2.559790026246719,1.19,19.028871391076116,0-5 (Slight),#F1C40F,7.58809,51.928104
4415102,16,776,2.0264690721649483,0.98,12.5,0-5 (Slight),#F1C40F,7.58809,51.928104
4415102,E15,10,0.604,0.12,10.0,0-5 (Slight),#F1C40F,7.58809,51.928104
4415102,E84,3,2.103333333333333,3.55,0.0,0-5 (Slight),#F1C40F,7.58809,51.928104
4415102,N84,103,3.150873786407767,3.8,0.9708737864077669,0-5 (Slight),#F1C40F,7.58809,51.928104
4416102,15,303,4.50980198019802,3.83,21.45214521452145,0-5 (Slight),#F1C40F,7.595317,51.931861
4416102,16,247,3.1769635627530364,3.08,14.17004048582996,0-5 (Slight),#F1C40F,7.595317,51.931861
4416102,E15,3,1.75,1.78,0.0,0-5 (Slight),#F1C40F,7.595317,51.931861
4416102,E84,1,0.17,0.17,0.0,0-5 (Slight),#F1C40F,7.595317,51.931861
4416102,N84,193,1.420362694300518,0.42,4.145077720207254,0-5 (Slight),#F1C40F,7.595317,51.931861
4417102,15,906,1.981953642384106,1.14,8.609271523178808,0-5 (Slight),#F1C40F,7.600119,51.934572
4417102,16,904,1.4751880530973451,0.42,4.092920353982301,0-5 (Slight),#F1C40F,7.600119,51.934572
4417102,E15,1,2.47,2.47,0.0,0-5 (Slight),#F1C40F,7.600119,51.934572
4417102,E84,5,1.0,1.02,0.0,0-5 (Slight),#F1C40F,7.600119,51.934572
4417102,N84,318,1.6038993710691825,1.6,3.459119496855346,0-5 (Slight),#F1C40F,7.600119,51.934572
4418102,15,559,1.9035599284436493,1.42,12.522361359570661,0-5 (Slight),#F1C40F,7.606432,51.938169
4418102,16,601,1.3635274542429285,0.4,6.821963394342761,0-5 (Slight),#F1C40F,7.606432,51.938169
4418102,E15,6,-0.24333333333333332,-0.265,0.0,< 0 (Early/On-time),#2ECC71,7.606432,51.938169
4418102,E84,1,-1.58,-1.58,0.0,< 0 (Early/On-time),#2ECC71,7.606432,51.938169
